date,precipitation_mm,temp_max,temp_min,temp_mean,humidity_mean,is_rainy
2016-02-20,0.0,33.7,24.0,28.28333333333333,67.79166666666667,0
2016-02-21,0.0,32.9,25.2,28.25,69.5,0
2016-02-22,0.0,33.4,24.6,28.179166666666664,71.04166666666667,0
2016-02-23,2.0,32.2,23.9,27.554166666666664,76.83333333333333,1
2016-02-24,0.0,32.6,23.7,27.912499999999998,74.66666666666667,0
2016-02-25,0.0,36.2,24.7,29.0625,68.33333333333333,0
2016-02-26,0.0,34.5,25.9,29.025000000000002,66.5,0
2016-02-27,0.0,34.6,25.9,29.3125,63.583333333333336,0
2016-02-28,0.0,35.6,24.8,29.241666666666664,62.041666666666664,0
2016-02-29,0.0,35.3,23.8,28.912499999999998,64.33333333333333,0
2016-03-01,0.0,29.8,24.3,26.71666666666667,76.5,0
2016-03-02,0.0,30.4,23.4,26.629166666666666,74.29166666666667,0
2016-03-03,0.0,33.0,23.7,28.03333333333333,69.91666666666667,0
2016-03-04,4.2,34.3,24.0,28.675,65.33333333333333,1
2016-03-05,12.4,33.4,22.8,26.9875,76.79166666666667,1
2016-03-06,0.0,33.7,25.6,28.650000000000002,69.75,0
2016-03-07,0.0,33.5,23.1,27.675,71.875,0
2016-03-08,0.0,31.6,23.9,27.454166666666666,76.0,0
2016-03-09,0.0,32.8,24.0,27.920833333333334,74.20833333333333,0
2016-03-10,0.0,33.4,23.1,27.879166666666666,73.33333333333333,0
2016-03-11,0.0,33.8,25.7,28.8625,66.16666666666667,0
2016-03-12,0.0,35.4,25.6,29.212500000000002,64.70833333333333,0
2016-03-13,0.0,30.4,25.5,27.46666666666667,74.41666666666667,0
2016-03-14,1.4,29.9,23.6,26.5125,79.70833333333333,1
2016-03-15,7.2,31.2,23.0,26.662499999999998,79.125,1
2016-03-16,5.4,30.3,23.0,26.204166666666666,81.91666666666667,1
2016-03-17,25.4,30.0,23.3,26.183333333333334,81.875,1
2016-03-18,29.2,29.8,23.0,25.833333333333332,84.95833333333333,1
2016-03-19,0.0,30.0,23.1,26.05,80.54166666666667,0
2016-03-20,4.6,30.3,23.2,26.8125,78.33333333333333,1
2016-03-21,0.0,29.9,22.9,26.4375,77.125,0
2016-03-22,0.0,34.1,22.7,27.53333333333333,73.375,0
2016-03-23,0.2,35.2,23.3,28.224999999999998,74.33333333333333,1
2016-03-24,0.0,29.3,24.8,27.195833333333336,74.45833333333333,0
2016-03-25,0.0,31.6,23.6,27.3875,78.125,0
2016-03-26,0.0,33.3,23.8,27.804166666666664,76.125,0
2016-03-27,0.0,33.4,24.3,27.912499999999998,71.625,0
2016-03-28,0.0,32.8,21.9,27.037499999999998,74.66666666666667,0
2016-03-29,0.0,33.6,22.8,27.579166666666666,73.75,0
2016-03-30,0.0,32.8,23.1,27.554166666666664,75.75,0
2016-03-31,0.0,33.0,23.9,27.979166666666668,74.41666666666667,0
2016-04-01,0.0,32.0,23.8,27.258333333333336,77.83333333333333,0
2016-04-02,0.0,30.8,23.3,26.912499999999998,78.875,0
2016-04-03,0.0,31.3,24.0,27.625,76.66666666666667,0
2016-04-04,0.0,32.2,24.2,27.795833333333334,76.95833333333333,0
2016-04-05,14.399999999999999,30.0,24.0,26.620833333333334,78.08333333333333,1
2016-04-06,0.0,30.0,22.6,26.03333333333333,79.75,0
2016-04-07,0.0,32.1,22.5,26.662499999999998,75.25,0
2016-04-08,0.2,33.5,22.4,27.22083333333333,73.66666666666667,1
2016-04-09,0.0,32.0,21.9,26.53333333333333,74.70833333333333,0
2016-04-10,0.2,34.1,21.9,26.8625,72.33333333333333,1
2016-04-11,0.0,32.5,21.5,26.854166666666668,71.16666666666667,0
2016-04-12,0.0,30.6,22.4,26.5625,76.95833333333333,0
2016-04-13,2.0,31.9,23.4,26.974999999999998,76.20833333333333,1
2016-04-14,1.2000000000000002,32.5,22.3,26.795833333333334,74.66666666666667,1
2016-04-15,0.0,33.6,21.3,26.670833333333334,72.79166666666667,0
